DATETIME,MAC-ADDRESS,BOSA-SERIAL,TUNINGPOWER-RESULT,TUNINGER-RESULT,TXDDMI-RESULT,SIGNALOFF-RESULT,WRITEFLASH-RESULT,VERIFYSIGNAL-RESULT,WRITEMAC-RESULT,ERROR-CODE,TOTAL-RESULT
2018/05/07 16:18:07,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 16:18:34,00AABB012340,G707893Y000001,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS
2018/05/07 16:19:11,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 16:19:14,00AABB012340,G707893Y000001,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS
2018/05/07 16:19:36,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 16:20:04,00AABB012340,G707893Y000001,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS
2018/05/07 16:50:55,00AABB012340,G707893Y000001,FAIL,NONE,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-PW-0001),FAIL
2018/05/07 16:51:25,00AABB012340,G707893Y000001,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS
2018/05/07 16:51:27,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 16:51:44,00AABB012340,G707893Y000001,FAIL,NONE,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-PW-0001),FAIL
2018/05/07 16:51:58,00AABB012340,G707893Y000001,FAIL,NONE,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-PW-0001),FAIL
2018/05/07 16:52:05,00AABB012340,G707893Y000001,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS
2018/05/07 16:52:19,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 16:52:52,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 16:52:54,00AABB012340,G707893Y000001,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS
2018/05/07 16:53:04,00AABB012340,G707893Y000001,FAIL,NONE,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-PW-0001),FAIL
2018/05/07 16:55:17,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 16:55:38,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 16:55:41,00AABB012340,G707893Y000001,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS
2018/05/07 16:55:53,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 16:56:17,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 16:56:21,00AABB012340,G707893Y000001,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS
2018/05/07 16:56:30,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 16:56:59,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 16:57:02,00AABB012340,G707893Y000001,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS
2018/05/07 16:57:19,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 16:57:39,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 16:57:43,00AABB012340,G707893Y000001,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS
2018/05/07 17:07:09,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 17:07:40,00AABB012340,G707893Y000001,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS
2018/05/07 17:12:10,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 17:12:34,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 17:12:38,00AABB012340,G707893Y000001,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS
2018/05/07 17:12:48,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 17:13:08,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 17:13:14,00AABB012340,G707893Y000001,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS
2018/05/07 17:13:24,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 17:13:49,00AABB012340,G707893Y000001,PASS,FAIL,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-ER-0001),FAIL
2018/05/07 17:13:54,00AABB012340,G707893Y000001,PASS,PASS,PASS,PASS,PASS,NONE,NONE,,PASS
2018/05/07 17:18:48,--,G707893Y000001,NONE,NONE,NONE,NONE,NONE,NONE,NONE,(Mã Lỗi: COT-LI-0002),FAIL
