DATETIME,MAC-ADDRESS,BOSA-SERIAL,TUNINGPOWER-RESULT,TUNINGER-RESULT,TXDDMI-RESULT,SIGNALOFF-RESULT,WRITEFLASH-RESULT,VERIFYSIGNAL-RESULT,WRITEMAC-RESULT,ERROR-CODE,TOTAL-RESULT,TOTAL-TIME
2018/08/03 15:08:05,--,B8D0893E000053,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,FAIL,01
2018/08/03 15:09:41,--,B8D0893E000053,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,FAIL,00
2018/08/03 15:10:09,--,B8D0893E000053,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,FAIL,00
2018/08/03 15:12:10,--,B8D0893E000053,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,FAIL,00
2018/08/03 15:12:26,--,B8D0893E000053,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,FAIL,00
2018/08/03 15:12:35,--,B8D0893E000053,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,FAIL,00
2018/08/03 15:12:46,--,B8D0893E000053,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,FAIL,00
2018/08/03 15:13:12,--,B8D0893E000053,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,FAIL,00
2018/08/03 15:13:17,--,B8D0893E000053,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,FAIL,00
2018/08/03 15:13:43,--,B8D0893E000053,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,FAIL,00
2018/08/03 15:13:56,--,B8D0893E000053,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,FAIL,00
2018/08/03 15:14:24,--,B8D0893E000053,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,FAIL,00
2018/08/03 15:14:54,--,B8D0893E000053,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,FAIL,00
2018/08/03 15:16:54,--,B8D0893E000053,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,FAIL,00
2018/08/03 15:20:09,--,B8D0893E000053,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,FAIL,00
2018/08/03 16:17:47,--,B8D0893E000053,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,FAIL,00
